"iso_alpha_3_code","year","deaths_hiv"
"CYP",1989,"0"
"CZE",1989,"0"
"DNK",1989,"3"
"EST",1989,"0"
"FIN",1989,"0"
"FRA",1989,"0"
"DEU",1989,"189"
"GRC",1989,"7"
"HUN",1989,"0"
"ISL",1989,"0"
"IRL",1989,"2"
"ISR",1989,"0"
"ITA",1989,"0"
"LVA",1989,"0"
"LTU",1989,"0"
"LUX",1989,"0"
"MLT",1989,"0"
"NLD",1989,"4"
"NOR",1989,"6"
"POL",1989,"0"
"PRT",1989,"21"
"ROU",1989,"6"
"SRB",1989,"6"
"SVK",1989,"0"
"SVN",1989,"0"
"ESP",1989,"332"
"SWE",1989,"0"
"CHE",1989,"80"
"TUR",1989,"0"
"GBR",1989,"0"
"USA",1989,"0"
"03M49WLD",1990,"70960"
"AFG",1990,"1"
"AUS",1990,"26"
"BGD",1990,"0"
"BTN",1990,"0"
"BRN",1990,"0"
"KHM",1990,"0"
"CHN",1990,"0"
"PRK",1990,"0"
"FJI",1990,"0"
"IND",1990,"0"
"IDN",1990,"0"
"JPN",1990,"1"
"LAO",1990,"0"
"MYS",1990,"1"
"MDV",1990,"0"
"MNG",1990,"0"
"MMR",1990,"0"
"NPL",1990,"0"
"NZL",1990,"5"
"PAK",1990,"0"
"PNG",1990,"0"
"PHL",1990,"0"
"KOR",1990,"0"
"SGP",1990,"0"
"LKA",1990,"0"
"THA",1990,"67"
"TLS",1990,"1"
"VNM",1990,"1"
"BHS",1990,"0"
"BRB",1990,"0"
"BLZ",1990,"0"
"CUB",1990,"18"
"DOM",1990,"103"
"GUY",1990,"1"
"HTI",1990,"651"
"JAM",1990,"70"
"SUR",1990,"6"
"TTO",1990,"14"
"AGO",1990,"105"
"BWA",1990,"212"
"COM",1990,"0"
"ERI",1990,"94"
"SWZ",1990,"10"
"ETH",1990,"2915"
"KEN",1990,"3501"
"LSO",1990,"75"
"MDG",1990,"0"
"MWI",1990,"4881"
"MUS",1990,"0"
"MOZ",1990,"631"
"NAM",1990,"104"
"RWA",1990,"680"
"ZAF",1990,"1102"
"SSD",1990,"195"
"UGA",1990,"13688"
"TZA",1990,"4398"
"ZMB",1990,"3408"
"ZWE",1990,"5605"
"ALB",1990,"0"
"ARM",1990,"0"
"AZE",1990,"1"
"BLR",1990,"0"
"BIH",1990,"0"
"GEO",1990,"0"
"KAZ",1990,"1"
"KGZ",1990,"0"
"MNE",1990,"0"
"MKD",1990,"0"
"MDA",1990,"1"
"RUS",1990,"0"
"TJK",1990,"0"
"TKM",1990,"0"
"UKR",1990,"4"
"UZB",1990,"13"
"ARG",1990,"42"
"BOL",1990,"10"
"BRA",1990,"0"
"CHL",1990,"0"
"COL",1990,"67"
"CRI",1990,"20"
"ECU",1990,"6"
"SLV",1990,"4"
"GTM",1990,"5"
"HND",1990,"142"
"MEX",1990,"318"
"NIC",1990,"2"
"PAN",1990,"26"
"PRY",1990,"2"
"PER",1990,"175"
"URY",1990,"7"
"VEN",1990,"288"
"DZA",1990,"4"
"BHR",1990,"0"
"DJI",1990,"1"
"EGY",1990,"0"
"IRN",1990,"14"
"JOR",1990,"1"
"KWT",1990,"0"
"LBN",1990,"1"
"LBY",1990,"0"
"MAR",1990,"36"
"OMN",1990,"0"
"QAT",1990,"0"
"SAU",1990,"1"
"SOM",1990,"11"
"SDN",1990,"8"
"SYR",1990,"0"
"TUN",1990,"1"
"ARE",1990,"0"
"YEM",1990,"14"
"IRQ",1990,"0"
"BEN",1990,"214"
"BFA",1990,"1252"
"BDI",1990,"988"
"CMR",1990,"419"
"CPV",1990,"4"
"CAF",1990,"299"
"TCD",1990,"248"
"COG",1990,"449"
"CIV",1990,"2075"
"COD",1990,"5419"
"GNQ",1990,"16"
"GAB",1990,"57"
"GMB",1990,"4"
"GHA",1990,"939"
"GIN",1990,"166"
"GNB",1990,"8"
"LBR",1990,"106"
"MLI",1990,"418"
"MRT",1990,"7"
"NER",1990,"46"
"NGA",1990,"2583"
"SEN",1990,"57"
"SLE",1990,"121"
"TGO",1990,"534"
"STP",1990,"3"
"AUT",1990,"0"
"BEL",1990,"0"
"BGR",1990,"0"
"CAN",1990,"0"
"HRV",1990,"1"
"CYP",1990,"0"
"CZE",1990,"0"
"DNK",1990,"5"
"EST",1990,"0"
"FIN",1990,"0"
"FRA",1990,"0"
"DEU",1990,"238"
"GRC",1990,"9"
"HUN",1990,"0"
"ISL",1990,"0"
"IRL",1990,"3"
"ISR",1990,"0"
"ITA",1990,"0"
"LVA",1990,"0"
"LTU",1990,"0"
"LUX",1990,"0"
"MLT",1990,"0"
"NLD",1990,"6"
"NOR",1990,"7"
"POL",1990,"0"
"PRT",1990,"35"
"ROU",1990,"9"
"SRB",1990,"8"
"SVK",1990,"0"
"SVN",1990,"0"
"ESP",1990,"442"
"SWE",1990,"0"
"CHE",1990,"101"
"TUR",1990,"0"
"GBR",1990,"0"
"USA",1990,"0"
"03M49WLD",1991,"94739"
"AFG",1991,"2"
"AUS",1991,"34"
"BGD",1991,"0"
"BTN",1991,"0"
"BRN",1991,"0"
"KHM",1991,"2"
"CHN",1991,"0"
"PRK",1991,"0"
"FJI",1991,"0"
"IND",1991,"0"
"IDN",1991,"0"
"JPN",1991,"2"
"LAO",1991,"0"
"MYS",1991,"3"
"MDV",1991,"0"
"MNG",1991,"0"
"MMR",1991,"0"
"NPL",1991,"0"
"NZL",1991,"6"
"PAK",1991,"0"
"PNG",1991,"1"
"PHL",1991,"0"
"KOR",1991,"0"
"SGP",1991,"0"
"LKA",1991,"0"
"THA",1991,"252"
"TLS",1991,"1"
"VNM",1991,"2"
"BHS",1991,"0"
"BRB",1991,"0"
"BLZ",1991,"0"
"CUB",1991,"20"
"DOM",1991,"164"
"GUY",1991,"1"
"HTI",1991,"899"
"JAM",1991,"101"
"SUR",1991,"8"
"TTO",1991,"19"
"AGO",1991,"144"
"BWA",1991,"365"
"COM",1991,"0"
"ERI",1991,"120"
"SWZ",1991,"24"
"ETH",1991,"4170"
"KEN",1991,"5325"
"LSO",1991,"134"
"MDG",1991,"0"
"MWI",1991,"6241"
"MUS",1991,"0"
"MOZ",1991,"934"
"NAM",1991,"160"
"RWA",1991,"896"
"ZAF",1991,"1636"
"SSD",1991,"257"
"UGA",1991,"16460"
"TZA",1991,"6003"
"ZMB",1991,"4739"
"ZWE",1991,"8111"
"ALB",1991,"0"
"ARM",1991,"0"
"AZE",1991,"1"
"BLR",1991,"0"
"BIH",1991,"0"
"GEO",1991,"0"
"KAZ",1991,"2"
"KGZ",1991,"0"
"MNE",1991,"0"
"MKD",1991,"0"
"MDA",1991,"1"
"RUS",1991,"0"
"TJK",1991,"0"
"TKM",1991,"0"
"UKR",1991,"8"
"UZB",1991,"14"
"ARG",1991,"69"
"BOL",1991,"13"
"BRA",1991,"0"
"CHL",1991,"0"
"COL",1991,"103"
"CRI",1991,"24"
"ECU",1991,"11"
"SLV",1991,"7"
"GTM",1991,"7"
"HND",1991,"188"
"MEX",1991,"357"
"NIC",1991,"4"
"PAN",1991,"32"
"PRY",1991,"4"
"PER",1991,"204"
"URY",1991,"8"
"VEN",1991,"308"
"DZA",1991,"5"
"BHR",1991,"0"
"DJI",1991,"1"
"EGY",1991,"0"
"IRN",1991,"17"
"JOR",1991,"1"
"KWT",1991,"0"
"LBN",1991,"2"
"LBY",1991,"0"
"MAR",1991,"45"
"OMN",1991,"0"
"QAT",1991,"0"
"SAU",1991,"2"
"SOM",1991,"15"
"SDN",1991,"12"
"SYR",1991,"1"
"TUN",1991,"1"
"ARE",1991,"0"
"YEM",1991,"16"
"IRQ",1991,"0"
"BEN",1991,"285"
"BFA",1991,"1592"
