"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"FIN","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"FJI","East Asia and Pacific","East Asia and Pacific","Oceania","Melanesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Melanesia","East Asia & Pacific","Upper middle income","Asia and the Pacific","Western Pacific"
"FRA","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"FSM","East Asia and Pacific","East Asia and Pacific","Oceania","Micronesia",NA,"Less Developed",NA,NA,"Small Island Developing States","Oceania (excluding Australia and New Zealand)","Micronesia","East Asia & Pacific","Lower middle income","Asia and the Pacific","Western Pacific"
"GAB","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Upper middle income","West and Central Africa","Africa"
"GBR","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"GEO","Eastern Europe and Central Asia","Europe and Central Asia","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"GHA","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"GIN","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"GMB","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"GNB","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
