"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"145","4007",2022,104,2,1,"covid19",1,0,0,0,1,1,0,0,0,1,5,8,21,29,50,33,46,66,59,321,0,"Armenia"
"146","4008",2020,10,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,6,4,24,51,0,"Andorra"
"147","4008",2020,10,2,0,"covid19",0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,8,14,30,0,"Andorra"
"148","4010",2020,104,1,0,"covid19",0,0,0,0,2,2,2,6,10,14,20,86,150,248,420,692,1112,1546,2480,6790,0,"Austria"
"149","4010",2020,104,2,0,"covid19",0,0,0,0,0,0,2,0,2,4,18,34,58,126,160,394,642,1094,3634,6168,0,"Austria"
"150","4010",2021,104,1,0,"covid19",0,2,0,6,8,4,14,12,20,30,70,186,324,564,718,1000,1334,1734,2490,8516,0,"Austria"
"151","4010",2021,104,2,0,"covid19",0,0,0,0,0,0,6,10,10,14,42,68,140,218,352,556,884,1342,3562,7204,0,"Austria"
"152","4020",2020,104,1,0,"covid19",0,0,0,0,0,3,4,9,17,25,65,124,233,404,647,1070,1357,2159,4615,10732,0,"Belgium"
"153","4020",2020,104,2,0,"covid19",0,1,0,2,2,1,4,9,12,11,43,58,129,194,324,613,943,1922,7015,11283,0,"Belgium"
"154","4030",2020,104,1,0,"covid19",4,0,0,2,8,10,8,50,92,164,276,454,808,1274,1644,2028,1638,1206,902,10568,0,"Bulgaria"
"155","4030",2020,104,2,0,"covid19",0,0,0,2,6,2,12,18,28,84,136,202,380,706,918,1222,1124,942,758,6540,0,"Bulgaria"
"156","4030",2021,104,1,0,"covid19",1,0,0,1,5,12,37,71,123,244,412,633,842,1449,2115,2858,2512,1923,1493,14731,0,"Bulgaria"
"157","4030",2021,104,2,0,"covid19",2,2,2,3,6,15,20,37,57,119,196,329,555,1026,1646,2475,2464,2053,1850,12857,0,"Bulgaria"
"158","4038",2020,104,1,0,"covid19",0,1,0,0,0,1,1,3,7,9,19,71,117,191,308,431,448,476,507,2590,0,"Croatia"
"159","4038",2020,104,2,0,"covid19",0,0,0,0,1,1,2,1,4,5,22,13,35,74,125,196,297,421,691,1888,0,"Croatia"
"160","4038",2021,104,1,0,"covid19",1,0,0,1,0,6,6,9,17,31,57,130,235,372,578,791,712,826,909,4681,0,"Croatia"
"161","4038",2021,104,2,0,"covid19",2,1,0,0,3,3,3,7,10,17,32,44,100,190,288,436,549,869,1286,3840,0,"Croatia"
"162","4045",2020,104,1,0,"covid19",0,0,0,0,0,4,8,12,22,46,86,110,302,608,1104,2112,2444,2244,2774,11876,0,"Czech Republic"
