"iso_alpha_3_code","year_start","year_end","allcause_1549_vr","allcause_1549_wpp","completeness","usability","ratio_vr/wpp"
"SUR",1991,1992,149,308,0.483766233766234,0.460264900662252,0.483766233766234
"SUR",1992,1993,137,310,0.441935483870968,0.42809364548495,0.441935483870968
"SUR",1995,1996,139,320,0.434375,0.393292682926829,0.434375
"SUR",1996,1997,146,330,0.442424242424242,0.392749244712991,0.442424242424242
"SUR",1997,1998,132,336,0.392857142857143,0.427536231884058,0.392857142857143
"SUR",1998,1999,169,343,0.492711370262391,0.471471471471471,0.492711370262391
"SUR",1999,2000,216,350,0.617142857142857,0.506329113924051,0.617142857142857
"SUR",2000,2001,207,357,0.579831932773109,0.572254335260116,0.579831932773109
"SUR",2001,2002,231,361,0.6398891966759,0.592,0.6398891966759
"SUR",2002,2003,237,363,0.652892561983471,0.607894736842105,0.652892561983471
"SUR",2003,2004,212,362,0.585635359116022,0.598240469208211,0.585635359116022
"SUR",2004,2005,234,356,0.657303370786517,0.610666666666667,0.657303370786517
"SUR",2005,2006,196,348,0.563218390804598,0.616393442622951,0.563218390804598
"SUR",2006,2007,224,339,0.660766961651917,0.676829268292683,0.660766961651917
"SUR",2007,2008,248,330,0.751515151515151,0.672222222222222,0.751515151515151
"SUR",2008,2009,255,322,0.791925465838509,0.709401709401709,0.791925465838509
"SUR",2009,2010,214,315,0.679365079365079,0.731707317073171,0.679365079365079
"SUR",2010,2011,230,309,0.744336569579288,0.699367088607595,0.744336569579288
"SUR",2011,2012,231,306,0.754901960784314,0.699386503067485,0.754901960784314
"SUR",2012,2013,200,304,0.657894736842105,0.697841726618705,0.657894736842105
"SUR",2013,2014,213,303,0.702970297029703,0.684563758389262,0.702970297029703
"SUR",2014,2015,222,302,0.735099337748344,0.694006309148265,0.735099337748344
"TTO",1985,1986,466,516,0.903100775193798,0.878143133462282,0.903100775193798
"TTO",1986,1987,462,532,0.868421052631579,0.874015748031496,0.868421052631579
"TTO",1987,1988,490,528,0.928030303030303,0.88724584103512,0.928030303030303
"TTO",1988,1989,509,544,0.935661764705882,0.899461400359066,0.935661764705882
"TTO",1989,1990,491,553,0.887884267631103,0.900934579439252,0.887884267631103
"TTO",1990,1991,529,560,0.944642857142857,0.885135135135135,0.944642857142857
"TTO",1991,1992,504,566,0.890459363957597,0.866900175131348,0.890459363957597
