"iso3","whoname","sex","year","age","pop","nLx","lx","deaths","crisis_deaths"
"LKA","Sri Lanka",2,2011,30,831768,487814.313515446,97745.4348622029,622.60444367565,2.26994367564974
"LKA","Sri Lanka",2,2011,35,726482,485810.814369271,97380.2905439756,652.376692152614,2.02599215261398
"LKA","Sri Lanka",2,2011,40,685764,483170.920723238,96944.0352037329,879.542590702615,2.06939070261509
"LKA","Sri Lanka",2,2011,45,665630,479179.670926914,96324.3330855623,1356.87292116414,2.14192116414347
"LKA","Sri Lanka",2,2011,50,637448,472883.007463286,95347.5352852032,2078.44306703697,2.32306703697155
"LKA","Sri Lanka",2,2011,55,549644,463282.320947612,93805.6677001113,2726.85913454294,2.39013454294411
"LKA","Sri Lanka",2,2011,60,498793,448875.29067997,91507.2606789335,3849.6683641981,2.59436419810048
"LKA","Sri Lanka",2,2011,65,358126,425922.611460727,88042.8555930544,4806.71109810629,2.12009810629237
"LKA","Sri Lanka",2,2011,70,214790,384272.241852685,82326.1889912363,6116.88818455205,1.59018455205172
"LKA","Sri Lanka",2,2011,75,153290,318629.016139504,71382.7077498376,7367.35723813566,1.38523813566345
"LKA","Sri Lanka",2,2011,80,108250,238620.029126264,56068.8987059638,7571.32297439268,1.24097439268362
"LKA","Sri Lanka",2,2011,85,66704,230090.864345019,39379.1129445418,10286.5303715757,0.983371575656348
"LKA","Sri Lanka",2,2012,0,170149,99249.623257327,1e+05,1429.34606252636,0.331420689681881
"LKA","Sri Lanka",2,2012,1,699395,396324.527691473,99166.2480636966,250.341152074417,1.55168021055528
"LKA","Sri Lanka",2,2012,5,873473,494778.840215361,99024.3878289829,242.280087130357,1.49247256572086
"LKA","Sri Lanka",2,2012,10,817393,494094.526902135,98887.1482571614,225.791813936055,1.5128701404013
"LKA","Sri Lanka",2,2012,15,799580,493157.374127997,98750.6625036926,386.489541267972,1.29824126797201
"LKA","Sri Lanka",2,2012,20,796721,491869.252348661,98512.287147506,448.474499375478,1.25239937547784
"LKA","Sri Lanka",2,2012,25,814969,490527.706386583,98235.4137919584,431.543711015709,1.33001101570921
"LKA","Sri Lanka",2,2012,30,833335,489082.120212363,97975.668762675,542.666327087114,1.39752708711457
"LKA","Sri Lanka",2,2012,35,748549,487284.067672475,97657.1793222703,615.590042948965,1.28494294896475
"LKA","Sri Lanka",2,2012,40,686071,484756.549352579,97256.4477467197,863.717047844531,1.28874784453117
"LKA","Sri Lanka",2,2012,45,670158,480945.18951392,96646.171994312,1273.95834365148,1.32634365148042
"LKA","Sri Lanka",2,2012,50,644461,474836.507606635,95731.9038112562,2075.47797389769,1.44797389768605
"LKA","Sri Lanka",2,2012,55,566727,465337.886283802,94202.6992313978,2764.89101911643,1.51901911642736
"LKA","Sri Lanka",2,2012,60,504716,450886.144061605,91932.455282123,3929.55469845415,1.60369845414484
"LKA","Sri Lanka",2,2012,65,386618,428642.623545989,88422.002342519,4858.81187934478,1.39987934477939
"LKA","Sri Lanka",2,2012,70,231887,389390.348336176,83035.0470758766,6142.09379080546,1.04379080545751
"LKA","Sri Lanka",2,2012,75,153912,325073.496716118,72721.092258594,7297.46570158739,0.841701587388299
"LKA","Sri Lanka",2,2012,80,109642,242885.995857721,57308.3064278534,7882.67811337317,0.763113373167825
"LKA","Sri Lanka",2,2012,85,72466,237286.809767644,39846.091915235,10892.0522489899,0.64324898994393
"LKA","Sri Lanka",2,2013,0,168837,99296.7040245707,1e+05,1328.70453220656,0.798009176315691
"LKA","Sri Lanka",2,2013,1,695182,396552.759581793,99218.5600273008,234.823184101489,3.53832799691298
"LKA","Sri Lanka",2,2013,5,874651,495116.933571906,99084.6098075465,216.307849839898,3.32755603011971
"LKA","Sri Lanka",2,2013,10,829485,494498.074800566,98962.1636212159,209.841772086225,3.40318129279601
"LKA","Sri Lanka",2,2013,15,792234,493649.426977472,98837.0662990107,344.018857415504,2.84445741550348
"LKA","Sri Lanka",2,2013,20,793077,492446.06290417,98622.7044919781,429.97344233034,2.75504233034032
"LKA","Sri Lanka",2,2013,25,798891,491142.222146745,98355.7206696898,414.054578642136,2.84437864213547
"LKA","Sri Lanka",2,2013,30,828494,489742.893960125,98101.1681890081,516.268439718803,3.0060397188032
"LKA","Sri Lanka",2,2013,35,772556,488087.331193316,97795.989395042,565.141222830813,2.85382283081319
"LKA","Sri Lanka",2,2013,40,686613,485689.431779633,97438.9430822843,851.200164258137,2.76646425813732
"LKA","Sri Lanka",2,2013,45,674486,481795.615367906,96836.8296295689,1337.52310666351,2.8411066635066
"LKA","Sri Lanka",2,2013,50,649191,475573.541033223,95881.4165175936,2093.22046811899,3.15246811898679
"LKA","Sri Lanka",2,2013,55,585974,466244.342274148,94347.9998956957,2762.76788170156,3.35688170155914
"LKA","Sri Lanka",2,2013,60,507459,451817.277718698,92149.7370139636,4012.5274233658,3.47842336579869
"LKA","Sri Lanka",2,2013,65,415275,429201.880841402,88577.1740735156,5295.98681100152,3.28081100152261
"LKA","Sri Lanka",2,2013,70,251868,390367.856118627,83103.5782630452,6490.78961355054,2.47261355053891
"LKA","Sri Lanka",2,2013,75,155855,324332.194180937,73043.5641844057,7858.8921729774,1.87517297740256
"LKA","Sri Lanka",2,2013,80,111327,238848.005023895,56689.313487969,8314.95185833134,1.70185833133634
"LKA","Sri Lanka",2,2013,85,76898,230499.053375233,38849.8885215891,11616.4583475056,1.52034750557741
"LKA","Sri Lanka",2,2014,0,167770,99342.9577906654,1e+05,1232.90035864497,1.80086604873032
"LKA","Sri Lanka",2,2014,1,690267,396775.693379795,99269.9531007393,220.447103640527,8.32276084005734
"LKA","Sri Lanka",2,2014,5,872742,495444.666937524,99143.2368410883,191.314622399033,8.13782966848772
"LKA","Sri Lanka",2,2014,10,841136,494892.164628502,99034.6299339213,191.028794090039,8.5243414770163
"LKA","Sri Lanka",2,2014,15,788721,494143.254576536,98922.2359174797,298.749222274351,6.65462227435068
"LKA","Sri Lanka",2,2014,20,789865,493121.90320162,98735.0659131349,354.58341006998,6.47061006997977
"LKA","Sri Lanka",2,2014,25,783397,491987.759753892,98513.6953675132,369.872633763572,6.75493376357201
"LKA","Sri Lanka",2,2014,30,819372,490649.074697385,98281.4085340436,506.31521864744,7.15351864743996
"LKA","Sri Lanka",2,2014,35,792775,488920.866607422,97978.2213449103,629.289655149891,7.08805514989102
"LKA","Sri Lanka",2,2014,40,690707,486531.055753992,97590.1252980584,806.121157497753,6.86215749775274
"LKA","Sri Lanka",2,2014,45,677821,482827.802393484,97022.2970035384,1282.38517529414,6.97217529413745
"LKA","Sri Lanka",2,2014,50,653197,476632.005185275,96108.8239538553,2144.53203488328,7.84003488328196
"LKA","Sri Lanka",2,2014,55,603630,467284.627121258,94543.9781202546,2808.47081544598,8.56381544597887
"LKA","Sri Lanka",2,2014,60,512098,452706.047371485,92369.8727282486,4137.14285664774,8.80485664774823
"LKA","Sri Lanka",2,2014,65,440449,430410.887069985,88712.5462203455,5383.42939359256,8.68739359256361
"LKA","Sri Lanka",2,2014,70,274016,392590.957583632,83451.8086076484,6887.01558032249,6.78658032248798
"LKA","Sri Lanka",2,2014,75,161049,329013.102351587,73584.5744258043,7618.39509502528,4.92809502528492
"LKA","Sri Lanka",2,2014,80,113361,242705.329890125,58020.6665148307,8855.32259995546,4.45459995545522
"LKA","Sri Lanka",2,2014,85,79652,234474.39335763,39061.4654412193,11842.8611962808,4.02519628076741
"LKA","Sri Lanka",2,2015,0,166895,99385.8736161839,1e+05,1145.86620923623,0.223449054094379
"LKA","Sri Lanka",2,2015,1,684003,396986.421416703,99317.6373513155,203.978845448496,0.980945684034514
"LKA","Sri Lanka",2,2015,5,869503,495756.142491173,99199.2506894159,168.451525739489,0.923725106208367
"LKA","Sri Lanka",2,2015,10,849761,495255.213021772,99103.2063070533,179.00540571253,0.962101994724721
"LKA","Sri Lanka",2,2015,15,790344,494412.08403988,98998.8789016556,372.341696080802,0.812551737247671
"LKA","Sri Lanka",2,2015,20,785659,493073.950047845,98765.9547142963,481.728595639264,0.794720984689661
"LKA","Sri Lanka",2,2015,25,770357,491630.941296956,98463.6253048415,430.711662462359,0.788387600291569
"LKA","Sri Lanka",2,2015,30,807532,490189.690087466,98188.7512139409,496.895322837472,0.835946077628988
"LKA","Sri Lanka",2,2015,35,805316,488462.96028587,97887.1248210455,641.442074454456,0.844853908190731
"LKA","Sri Lanka",2,2015,40,700167,486097.533503358,97498.0592933024,802.445269446075,0.798591598755365
"LKA","Sri Lanka",2,2015,45,679741,482432.107483034,96940.9541080406,1280.86189553435,0.801694698738447
"LKA","Sri Lanka",2,2015,50,657325,476461.866298276,96031.8888851729,2040.46595510359,0.88991159990374
"LKA","Sri Lanka",2,2015,55,617435,467262.964339198,94552.8576341376,2907.75014424696,0.971831863263518
"LKA","Sri Lanka",2,2015,60,521569,453155.468615282,92352.3281015414,3962.18320522649,0.97628068796232
"LKA","Sri Lanka",2,2015,65,459858,431582.533865964,88909.8593445715,5526.51617333277,0.982096795295372
"LKA","Sri Lanka",2,2015,70,297966,392823.399083988,83723.154201814,7825.65388003871,0.781120300299076
"LKA","Sri Lanka",2,2015,75,170498,326817.463797799,73406.2054317812,8391.63494663684,0.545636569127443
"LKA","Sri Lanka",2,2015,80,115576,240382.719608911,57320.7800873383,8889.25660553773,0.474903284891985
"LKA","Sri Lanka",2,2015,85,80857,239061.041915436,38832.307756226,11610.05173906,0.423305799265635
"LKA","Sri Lanka",2,2016,0,166603,99424.48185682,1e+05,1071.53408650292,1.46065561524846
"LKA","Sri Lanka",2,2016,1,675691,397169.999031188,99360.5353964666,192.910965247328,6.90326766354979
"LKA","Sri Lanka",2,2016,5,866540,496017.677602791,99247.1426653508,152.362857030418,6.86612518602968
"LKA","Sri Lanka",2,2016,10,855863,495558.887553367,99159.9283757656,166.319462269326,7.29198534691232
"LKA","Sri Lanka",2,2016,15,792867,494751.411220164,99063.6266455813,363.281573673427,5.6809657248422
"LKA","Sri Lanka",2,2016,20,776612,493441.35980002,98836.9378424842,467.961211729309,5.42799472607113
"LKA","Sri Lanka",2,2016,25,760884,492024.263016767,98539.6060775239,416.775228978049,5.57911673297085
"LKA","Sri Lanka",2,2016,30,795900,490611.757715055,98270.0991291828,479.370100634092,5.92684800596017
